events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate,hit
home_run,hit_into_play_score,527049,R,30.0,101.6,203.72,66.17,579328.0,L,FF,92.2,2058.0,True
grounded_into_double_play,hit_into_play,518960,R,-4.0,66.4,128.02,183.12,579328.0,L,SL,81.4,2320.0,False
single,hit_into_play_no_out,600303,L,13.0,99.8,169.95,72.45,579328.0,L,FF,92.4,2152.0,True
single,hit_into_play_no_out,571745,R,19.0,87.3,77.49,100.05,570240.0,R,FT,94.0,2224.0,True
grounded_into_double_play,hit_into_play,405395,R,-6.0,96.2,117.37,150.68,579328.0,L,CU,73.3,2574.0,False
single,hit_into_play_score,545361,R,32.0,62.4,173.66,137.22,579328.0,L,FF,92.5,2136.0,True
single,hit_into_play_no_out,664058,R,2.0,98.5,143.74,85.79,579328.0,L,FF,91.5,2176.0,True
force_out,hit_into_play,650859,R,-3.0,82.3,128.53,143.07,579328.0,L,SL,85.1,2390.0,False
single,hit_into_play_no_out,572863,R,17.0,74.4,132.95,113.26,579328.0,L,SL,83.8,2396.0,True
home_run,hit_into_play_score,594777,L,22.0,110.1,185.66,32.07,579328.0,L,FF,91.7,2125.0,True
grounded_into_double_play,hit_into_play,429665,R,-2.0,104.5,98.11,168.93,472610.0,R,FF,96.9,2093.0,False
single,hit_into_play_no_out,572122,L,9.0,101.3,182.77,114.18,472610.0,R,SL,84.9,2295.0,True
field_out,hit_into_play,605480,L,-1.0,99.7,144.24,150.68,472610.0,R,FT,96.4,1981.0,False
field_out,hit_into_play,527049,R,-21.0,82.9,146.27,155.24,579328.0,L,FF,92.0,2071.0,False
field_out,hit_into_play,518960,R,16.0,102.6,67.71,90.29,579328.0,L,FF,92.2,2015.0,False
field_out,hit_into_play,600303,L,54.0,85.5,55.53,139.53,579328.0,L,FF,91.2,2043.0,False
field_out,hit_into_play,605137,L,27.0,96.4,77.28,46.65,458006.0,R,SI,91.8,2101.0,False
field_out,hit_into_play,570256,L,18.0,75.3,169.19,111.83,458006.0,R,SL,82.6,2329.0,False
field_out,hit_into_play,518735,L,69.0,80.0,65.4,152.45,593144.0,R,FF,92.7,2257.0,False
field_out,hit_into_play,519058,L,53.0,94.2,160.85,94.38,593144.0,R,FF,92.1,2405.0,False
double,hit_into_play_score,456715,R,18.0,102.3,189.84,66.85,593144.0,R,FF,92.6,2420.0,True
double,hit_into_play_no_out,592325,L,14.0,104.0,196.83,105.21,593144.0,R,FF,91.5,2513.0,True
field_out,hit_into_play,541650,R,46.0,52.7,151.58,147.76,593144.0,R,FF,91.7,2339.0,False
home_run,hit_into_play_score,519346,L,29.0,96.3,205.62,62.0,593144.0,R,SL,80.6,2457.0,True
single,hit_into_play_score,657061,L,13.0,79.8,97.37,119.76,669203.0,R,FF,96.1,2638.0,True
field_out,hit_into_play,553869,R,-21.0,82.9,130.81,192.42,669203.0,R,SL,87.1,2903.0,False
single,hit_into_play_no_out,668804,L,-60.0,89.9,110.22,172.44,669203.0,R,FF,97.9,2604.0,True
field_out,hit_into_play,669374,R,-6.0,85.3,100.53,168.2,656725.0,R,SL,85.7,2432.0,False
single,hit_into_play_no_out,518735,L,2.0,104.9,122.94,103.99,656725.0,R,FT,92.6,2277.0,True
single,hit_into_play_score,519058,L,10.0,103.8,75.26,83.94,656725.0,R,CH,86.1,1404.0,True
double,hit_into_play_score,456715,R,22.0,98.3,99.92,43.43,656725.0,R,CU,79.8,2491.0,True
field_out,hit_into_play,592325,L,-28.0,63.2,134.45,186.37,656725.0,R,FT,93.5,2193.0,False
field_out,hit_into_play,460075,R,-35.0,80.5,107.19,164.56,656725.0,R,FT,92.4,2236.0,False
force_out,hit_into_play,621028,R,-26.0,63.6,120.86,157.09,502026.0,R,FT,94.3,2069.0,False
single,hit_into_play_no_out,657061,L,1.0,82.5,176.84,120.95,502026.0,R,KC,81.0,2461.0,True
field_out,hit_into_play,606115,R,4.0,91.4,138.08,143.36,656725.0,R,CU,78.6,2460.0,False
field_out,hit_into_play,518735,L,52.0,89.7,123.49,88.59,656725.0,R,CH,85.9,1500.0,False
single,hit_into_play_no_out,519058,L,7.0,91.0,102.95,150.03,656725.0,R,FF,94.1,2195.0,True
field_out,hit_into_play,624428,L,30.0,96.9,85.47,51.09,502026.0,R,KC,81.2,2366.0,False
field_out,hit_into_play,553869,R,-12.0,104.2,107.19,162.14,502026.0,R,FT,92.2,2060.0,False
field_out,hit_into_play,592567,L,-21.0,82.9,124.15,147.0,502026.0,R,FT,92.5,1949.0,False
