events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
walk,ball,543829.0,L,,,,,625643.0,R,FF,94.3,2131.0
walk,ball,543829.0,L,,,,,625643.0,R,FF,92.5,2222.0
field_out,hit_into_play,543829.0,L,-11.0,64.4,105.63,178.84,472610.0,R,FT,95.4,2091.0
double,hit_into_play_no_out,543829.0,L,-1.0,97.7,195.45,130.4,502239.0,R,FF,91.3,2160.0
field_out,hit_into_play,543829.0,L,40.0,84.8,129.54,85.28,502239.0,R,FF,91.5,2323.0
field_out,hit_into_play,543829.0,L,-11.0,94.6,150.83,163.35,592135.0,R,FF,92.1,2268.0
single,hit_into_play_no_out,543829.0,L,-9.0,96.6,198.49,109.62,605121.0,R,FF,94.4,2215.0
field_out,hit_into_play,543829.0,L,-13.0,90.7,113.83,156.26,608717.0,R,FF,90.1,2496.0
field_out,hit_into_play,543829.0,L,37.0,90.1,88.34,71.33,608717.0,R,FF,89.1,2462.0
strikeout,swinging_strike,543829.0,L,,,,,518489.0,R,FF,96.4,2483.0
single,hit_into_play_no_out,543829.0,L,32.0,61.8,127.93,117.05,605155.0,R,FC,92.4,2516.0
field_out,hit_into_play,543829.0,L,37.0,93.3,146.44,65.15,598271.0,L,SL,75.6,2423.0
sac_fly,hit_into_play_score,543829.0,L,38.0,80.7,78.06,96.01,519144.0,R,FF,88.3,2553.0
single,hit_into_play_score,543829.0,L,10.0,95.0,94.37,99.2,519144.0,R,FF,90.1,2338.0
field_out,hit_into_play,543829.0,L,-12.0,86.9,142.22,152.2,584171.0,R,CH,85.3,1436.0
field_out,hit_into_play,543829.0,L,32.0,74.0,140.26,89.86,592390.0,R,FF,93.2,2237.0
single,hit_into_play_score,543829.0,L,16.0,61.9,93.26,155.96,593958.0,L,FT,90.9,2139.0
field_out,hit_into_play,543829.0,L,-55.0,60.5,156.92,175.01,593958.0,L,FC,88.0,2012.0
strikeout,called_strike,543829.0,L,,,,,598271.0,L,FF,90.9,2189.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,144.75,153.72,605155.0,R,CH,88.4,1919.0
sac_fly,hit_into_play_score,543829.0,L,21.0,96.2,128.81,50.94,543135.0,R,FS,86.8,1385.0
field_out,hit_into_play,543829.0,L,-5.0,93.2,113.32,158.28,543135.0,R,FS,86.4,1482.0
strikeout,foul_tip,543829.0,L,,,,,592804.0,R,CU,79.6,3003.0
field_out,hit_into_play,543829.0,L,61.0,70.6,89.49,158.79,584171.0,R,FF,92.2,2179.0
field_out,hit_into_play,543829.0,L,-25.0,80.9,151.85,158.79,519242.0,L,FF,92.9,2208.0
single,hit_into_play_no_out,543829.0,L,21.0,72.8,94.67,116.37,519242.0,L,FF,93.6,2209.0
single,hit_into_play_no_out,543829.0,L,15.0,90.0,125.49,126.85,488748.0,L,,,
strikeout,swinging_strike,543829.0,L,,,,,595014.0,R,,,
single,hit_into_play_no_out,543829.0,L,15.0,90.0,91.52,127.87,465657.0,R,,,
field_out,hit_into_play,543829.0,L,60.0,75.0,122.95,224.19,462136.0,R,,,
field_out,hit_into_play,543829.0,L,60.0,75.0,136.64,150.68,462136.0,R,,,
strikeout,swinging_strike,543829.0,L,,,,,462136.0,R,,,
field_out,hit_into_play,543829.0,L,38.0,89.0,62.62,158.79,407845.0,R,,,
field_out,hit_into_play,543829.0,L,38.0,89.0,128.02,103.53,488748.0,L,,,
sac_bunt,hit_into_play,543829.0,L,-39.0,41.0,118.9,191.74,521230.0,R,,,
single,hit_into_play_score,543829.0,L,-3.0,93.0,180.74,116.21,571666.0,R,,,
field_out,hit_into_play,543829.0,L,18.0,91.0,199.0,109.62,571666.0,R,,,
