events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665.0,R,49.0,77.7,123.87,105.42,669456.0,R,FF,93.6,2242.0
home_run,hit_into_play_score,429665.0,R,22.0,109.3,54.25,30.93,424144.0,L,SI,92.0,2144.0
force_out,hit_into_play,429665.0,R,-11.0,83.3,112.81,153.21,545333.0,R,FC,85.9,2610.0
double,hit_into_play_no_out,429665.0,R,18.0,99.1,41.29,116.28,545333.0,R,FF,93.4,2232.0
strikeout,foul_tip,429665.0,R,,,,,545333.0,R,FF,96.5,2453.0
field_out,hit_into_play,429665.0,R,-24.0,93.7,101.66,153.21,444468.0,R,SL,84.9,2350.0
strikeout,swinging_strike,429665.0,R,,,,,543037.0,R,FF,97.5,2507.0
field_out,hit_into_play,429665.0,R,-19.0,68.1,108.25,157.78,543037.0,R,SL,86.4,2428.0
field_out,hit_into_play,429665.0,R,55.0,92.2,181.19,119.14,532077.0,R,FF,94.9,2329.0
field_out,hit_into_play,429665.0,R,29.0,57.8,98.68,131.41,502748.0,R,FT,90.8,2259.0
walk,ball,429665.0,R,,,,,502748.0,R,SL,80.8,2844.0
field_out,hit_into_play,429665.0,R,57.0,78.8,115.63,121.73,489119.0,L,FC,87.6,2300.0
field_out,hit_into_play,429665.0,R,30.0,83.1,62.3,84.74,489119.0,L,CH,82.1,1840.0
field_out,hit_into_play,429665.0,R,36.0,76.6,134.44,86.79,642098.0,R,FF,93.3,2232.0
single,hit_into_play_score,429665.0,R,23.0,60.8,153.32,138.03,503449.0,R,SL,87.2,2340.0
walk,ball,429665.0,R,,,,,605347.0,R,FT,92.5,1980.0
field_out,hit_into_play,429665.0,R,45.0,91.9,74.09,81.4,605347.0,R,SL,86.1,2109.0
strikeout,swinging_strike,429665.0,R,,,,,605347.0,R,KC,82.1,2416.0
single,hit_into_play_no_out,429665.0,R,2.0,91.6,113.88,91.26,502202.0,R,SL,87.4,2365.0
strikeout,swinging_strike,429665.0,R,,,,,453178.0,R,FF,93.6,2387.0
field_out,hit_into_play,429665.0,R,-4.0,108.9,107.81,145.53,605130.0,R,FF,92.3,2288.0
sac_fly,hit_into_play_score,429665.0,R,17.0,105.4,44.57,102.65,641571.0,R,SL,83.5,2321.0
single,hit_into_play_score,429665.0,R,16.0,84.5,99.17,105.81,641571.0,R,FF,91.7,2247.0
field_out,hit_into_play,429665.0,R,37.0,97.0,126.65,48.06,503449.0,R,FF,95.4,1963.0
single,hit_into_play_no_out,429665.0,R,-1.0,86.8,177.38,97.36,642098.0,R,FF,94.5,2357.0
field_out,hit_into_play,429665.0,R,56.0,91.1,156.01,104.05,642098.0,R,SL,85.4,2333.0
walk,blocked_ball,429665.0,R,,,,,596001.0,R,SL,84.6,2694.0
field_out,hit_into_play,429665.0,R,22.0,89.7,182.49,80.44,596001.0,R,SL,84.3,2749.0
field_out,hit_into_play,429665.0,R,45.0,74.0,125.44,104.53,605130.0,R,SL,82.6,2394.0
home_run,hit_into_play_score,429665.0,R,27.0,101.7,24.24,74.15,641838.0,R,SI,90.6,2015.0
home_run,hit_into_play_score,429665.0,R,23.0,105.8,77.9,29.41,456701.0,R,FF,92.0,2127.0
walk,ball,429665.0,R,,,,,456701.0,R,FF,95.5,2112.0
force_out,hit_into_play,429665.0,R,4.0,103.0,115.91,147.65,456701.0,R,KC,80.1,2077.0
strikeout,called_strike,429665.0,R,,,,,516969.0,R,FC,92.1,2264.0
single,hit_into_play_no_out,429665.0,R,-20.0,88.9,112.64,172.44,614179.0,R,FF,97.4,2468.0
home_run,hit_into_play_score,429665.0,R,16.0,111.8,52.72,55.75,621114.0,R,FF,95.0,2108.0
single,hit_into_play_score,429665.0,R,25.0,77.6,128.58,88.06,467100.0,R,FC,85.7,2243.0
field_out,hit_into_play_score,429665.0,R,-20.0,55.2,119.22,180.53,467100.0,R,FT,95.4,2279.0
field_out,hit_into_play,429665.0,R,46.0,83.8,59.37,113.81,544365.0,L,FF,91.2,1867.0
field_out,hit_into_play,429665.0,R,-21.0,82.9,114.46,186.37,544365.0,L,SI,91.6,1852.0
single,hit_into_play_no_out,429665.0,R,16.0,85.3,182.09,114.5,614179.0,R,FF,96.1,2270.0
walk,ball,429665.0,R,,,,,608337.0,R,FF,94.2,2270.0
strikeout,swinging_strike,429665.0,R,,,,,608337.0,R,FF,94.0,2366.0
single,hit_into_play_no_out,429665.0,R,12.0,73.1,159.75,112.03,570663.0,R,FF,95.6,2386.0
walk,ball,429665.0,R,,,,,605121.0,R,FF,94.5,2209.0
field_out,hit_into_play,429665.0,R,35.0,100.8,173.76,51.38,608717.0,R,FF,90.2,2517.0
field_out,hit_into_play,429665.0,R,58.0,80.6,133.93,116.63,608717.0,R,CH,84.3,1881.0
strikeout,swinging_strike,429665.0,R,,,,,592390.0,R,FF,94.4,2407.0
single,hit_into_play_no_out,429665.0,R,11.0,89.6,83.39,123.35,593958.0,L,CH,85.0,2137.0
single,hit_into_play_no_out,429665.0,R,3.0,88.9,55.53,109.11,593958.0,L,CH,87.2,2155.0
field_out,hit_into_play,429665.0,R,-21.0,82.9,109.77,170.96,593958.0,L,CH,87.2,2151.0
field_out,hit_into_play,429665.0,R,20.0,92.7,,,519443.0,R,FF,91.4,2032.0
field_error,hit_into_play_no_out,429665.0,R,-18.0,94.4,102.67,166.9,543135.0,R,FS,85.8,1283.0
force_out,hit_into_play,429665.0,R,-29.0,80.6,106.22,167.92,543135.0,R,FC,93.4,2359.0
field_out,hit_into_play,429665.0,R,26.0,53.0,103.69,160.31,543135.0,R,FS,85.7,1340.0
field_out,hit_into_play,429665.0,R,45.0,81.8,171.15,100.46,592804.0,R,FF,94.4,2687.0
hit_by_pitch,hit_by_pitch,429665.0,R,-8.0,55.0,,,584171.0,R,CH,87.4,2062.0
single,hit_into_play_no_out,429665.0,R,42.0,70.7,103.17,103.43,584171.0,R,CH,85.1,1329.0
home_run,hit_into_play_score,429665.0,R,21.0,109.4,102.23,25.02,519242.0,L,CH,84.5,2024.0
field_error,hit_into_play_no_out,429665.0,R,1.0,76.7,104.7,168.93,519242.0,L,SL,80.3,2393.0
walk,ball,429665.0,R,,,,,407845.0,R,,,
strikeout,swinging_strike,429665.0,R,,,,,595014.0,R,,,
walk,ball,429665.0,R,,,,,465657.0,R,,,
field_out,hit_into_play,429665.0,R,-13.0,84.0,104.7,154.73,433589.0,R,,,
hit_by_pitch,hit_by_pitch,429665.0,R,,,,,462136.0,R,,,
field_out,hit_into_play,429665.0,R,60.0,75.0,150.33,166.9,462136.0,R,,,
strikeout,called_strike,429665.0,R,,,,,642152.0,R,,,
strikeout,called_strike,429665.0,R,,,,,605525.0,R,,,
walk,ball,429665.0,R,,,,,623430.0,R,,,
walk,ball,429665.0,R,,,,,571666.0,R,,,
strikeout,swinging_strike,429665.0,R,,,,,571666.0,R,,,
