events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665,R,46.0,80.2,177.88,111.08,607352,R,FC,88.1,2004.0
double,hit_into_play_no_out,429665,R,14.0,107.0,106.36,78.07,543208,R,SI,92.1,2222.0
strikeout,swinging_strike_blocked,429665,R,,,,,663423,R,SL,80.1,3098.0
field_out,hit_into_play,429665,R,69.0,80.0,136.23,185.75,663423,R,FC,88.4,2831.0
home_run,hit_into_play_score,429665,R,40.0,95.5,229.7,96.77,641835,L,FT,95.5,2119.0
walk,ball,429665,R,,,,,453385,L,FT,92.2,2195.0
field_out,hit_into_play,429665,R,29.0,100.9,151.51,45.48,453385,L,FT,90.6,2244.0
hit_by_pitch,hit_by_pitch,429665,R,,,,,453385,L,SL,82.4,2275.0
strikeout,swinging_strike,429665,R,,,,,532077,R,FC,92.3,2509.0
strikeout,swinging_strike,429665,R,,,,,434378,R,SL,88.8,2422.0
field_out,hit_into_play,429665,R,12.0,102.8,67.14,99.73,434378,R,SL,86.4,2394.0
field_out,hit_into_play,429665,R,46.0,97.0,40.53,79.32,434378,R,FF,95.0,2536.0
strikeout,swinging_strike,429665,R,,,,,519151,R,SL,92.2,2713.0
strikeout,swinging_strike,429665,R,,,,,501789,R,CU,81.5,2759.0
strikeout,foul_tip,429665,R,,,,,489119,L,FC,89.2,2258.0
field_out,hit_into_play,429665,R,4.0,71.7,146.39,153.24,489119,L,FF,89.9,2171.0
field_out,hit_into_play,429665,R,39.0,89.0,104.23,41.99,444468,R,,,
strikeout,swinging_strike,429665,R,,,,,502748,R,FT,92.9,2334.0
strikeout,swinging_strike,429665,R,,,,,502748,R,CH,82.4,1615.0
field_out,hit_into_play,429665,R,69.0,80.0,104.23,152.22,660494,R,CU,80.7,2402.0
home_run,hit_into_play_score,429665,R,20.0,108.4,50.96,47.26,660494,R,FF,92.8,2050.0
walk,ball,429665,R,,,,,657624,R,FF,98.1,2400.0
walk,ball,429665,R,,,,,664285,L,CU,80.6,2997.0
field_out,hit_into_play,429665,R,69.0,80.0,154.52,167.97,664285,L,FF,96.8,2328.0
grounded_into_double_play,hit_into_play,429665,R,-13.0,93.0,108.8,147.65,621002,R,FF,81.3,1859.0
single,hit_into_play_score,429665,R,15.0,73.8,125.12,124.49,543118,R,FF,94.0,2174.0
field_out,hit_into_play,429665,R,69.0,80.0,135.21,207.08,650895,R,SL,86.5,2422.0
field_out,hit_into_play,429665,R,69.0,80.0,,,621363,L,,,
walk,ball,429665,R,,,,,605483,L,CH,86.4,1794.0
home_run,hit_into_play_score,429665,R,24.0,102.9,190.89,51.4,552640,R,FF,95.5,2394.0
field_out,hit_into_play,429665,R,39.0,89.0,95.71,77.61,543118,R,,,
field_out,hit_into_play,429665,R,1.0,108.5,110.32,177.62,642232,L,FC,85.1,2050.0
field_out,hit_into_play,429665,R,39.0,89.0,103.87,55.81,592773,R,,,
field_out,hit_into_play,429665,R,31.0,90.2,163.8,62.04,592473,L,SI,89.4,2174.0
field_out,hit_into_play,429665,R,-35.0,92.3,108.29,152.22,630023,R,SI,95.3,2278.0
field_out,hit_into_play,429665,R,12.0,95.1,96.03,149.3,630023,R,SI,94.2,2346.0
strikeout,swinging_strike,429665,R,,,,,630023,R,SI,95.2,2239.0
field_error,hit_into_play_score,429665,R,-5.0,107.1,106.59,173.65,608648,R,SL,84.7,2606.0
field_out,hit_into_play,429665,R,7.0,98.1,105.37,159.72,592280,R,FF,93.7,2160.0
walk,ball,429665,R,,,,,543507,R,FF,96.4,2399.0
field_out,hit_into_play,429665,R,-10.0,98.7,113.85,157.29,621244,R,FT,94.3,2185.0
field_out,hit_into_play,429665,R,69.0,80.0,122.94,150.63,621244,R,FF,93.6,2184.0
strikeout,swinging_strike,429665,R,,,,,621244,R,FF,95.2,2288.0
strikeout,called_strike,429665,R,,,,,543507,R,FF,96.1,2448.0
field_out,hit_into_play,429665,R,29.0,91.3,38.75,86.43,607560,R,CU,69.3,2362.0
walk,ball,429665,R,,,,,527048,L,FT,95.7,2199.0
home_run,hit_into_play_score,429665,R,24.0,98.9,50.01,58.44,527048,L,FC,89.0,2404.0
walk,ball,429665,R,,,,,527048,L,FC,87.8,2321.0
field_out,hit_into_play,429665,R,24.0,83.5,64.8,94.94,607374,R,FF,90.8,2277.0
home_run,hit_into_play_score,429665,R,38.0,102.0,51.33,53.28,607374,R,CH,83.2,2206.0
home_run,hit_into_play_score,429665,R,23.0,104.7,68.85,35.34,592102,R,KC,84.5,2435.0
field_out,hit_into_play,429665,R,5.0,71.1,114.47,150.37,660761,L,FF,92.5,2035.0
field_out,hit_into_play,429665,R,4.0,104.8,108.79,141.97,660761,L,CH,81.8,1570.0
walk,ball,429665,R,,,,,592135,R,FF,92.6,2360.0
home_run,hit_into_play_score,429665,R,32.0,106.8,147.3,28.7,596071,L,FT,91.5,2328.0
field_error,hit_into_play_no_out,429665,R,-6.0,86.8,108.42,173.71,596071,L,FT,91.7,2222.0
strikeout,swinging_strike,429665,R,,,,,598287,R,CH,84.7,2025.0
strikeout,called_strike,429665,R,,,,,592102,R,FF,92.7,2445.0
walk,ball,429665,R,,,,,472610,R,SL,88.8,
field_out,hit_into_play,429665,R,59.0,94.0,144.92,110.99,571760,L,SI,93.2,2573.0
field_out,hit_into_play,429665,R,69.0,80.0,133.45,170.08,571760,L,SI,93.4,2496.0
strikeout,swinging_strike,429665,R,,,,,571760,L,SI,95.4,2608.0
strikeout,swinging_strike,429665,R,,,,,606965,R,CH,84.8,1837.0
walk,ball,429665,R,,,,,657624,R,FF,96.5,2372.0
single,hit_into_play_score,429665,R,8.0,100.7,152.86,73.11,532077,R,FF,95.4,2478.0
walk,ball,429665,R,,,,,519151,R,CU,82.9,3366.0
field_out,hit_into_play,429665,R,-7.0,78.3,108.25,153.21,434378,R,SL,88.2,2620.0
field_out,hit_into_play,429665,R,52.0,83.9,175.51,118.67,434378,R,SL,89.1,2664.0
double,hit_into_play_no_out,429665,R,55.0,99.0,97.0,94.65,434378,R,FF,93.3,2422.0
walk,ball,429665,R,,,,,572086,R,FF,90.5,2469.0
home_run,hit_into_play_score,429665,R,24.0,111.2,47.14,27.84,572086,R,FF,89.1,2266.0
strikeout,foul_tip,429665,R,,,,,502748,R,SL,81.4,2859.0
strikeout,called_strike,429665,R,,,,,502748,R,FT,92.2,2119.0
field_out,hit_into_play,429665,R,0.0,102.1,105.21,148.65,502748,R,FF,92.7,2313.0
strikeout,swinging_strike,429665,R,,,,,501789,R,FC,91.3,2576.0
strikeout,swinging_strike,429665,R,,,,,657624,R,FF,97.7,2268.0
field_out,hit_into_play,429665,R,-10.0,102.6,102.17,165.38,489119,L,FF,91.1,2201.0
walk,ball,429665,R,,,,,489119,L,FC,88.8,2262.0
field_out,hit_into_play,429665,R,6.0,107.1,102.17,162.85,519151,R,FF,95.7,2658.0
field_out,hit_into_play,429665,R,3.0,74.9,118.9,152.2,664285,L,FF,94.1,2189.0
field_out,hit_into_play,429665,R,-21.0,81.7,97.6,165.89,664285,L,CU,79.6,2921.0
home_run,hit_into_play_score,429665,R,30.0,105.6,106.32,27.83,656686,R,CU,82.4,2606.0
field_out,hit_into_play,429665,R,47.0,95.0,170.83,87.11,656686,R,FF,96.3,2392.0
field_out,hit_into_play,429665,R,83.0,80.3,127.0,201.0,660761,L,CH,81.6,1575.0
single,hit_into_play_no_out,429665,R,3.0,94.8,63.64,110.63,660761,L,FF,91.4,2265.0
field_out,hit_into_play,429665,R,69.0,80.0,157.42,189.72,660761,L,FF,91.0,2246.0
field_out,hit_into_play,429665,R,69.0,80.0,156.41,199.85,621142,R,FF,98.1,2243.0
home_run,hit_into_play_score,429665,R,29.0,108.5,137.15,23.43,571760,L,CU,80.0,2530.0
home_run,hit_into_play_score,429665,R,37.0,107.9,15.49,69.09,571760,L,CH,83.4,2027.0
field_out,hit_into_play,429665,R,69.0,80.0,81.89,138.01,571760,L,SI,91.8,2622.0
strikeout,swinging_strike,429665,R,,,,,657228,R,FF,94.5,2244.0
strikeout,swinging_strike,429665,R,,,,,570240,R,SL,81.4,2277.0
strikeout,foul_tip,429665,R,,,,,570240,R,FT,93.8,2060.0
grounded_into_double_play,hit_into_play,429665,R,-2.0,104.5,98.11,168.93,472610,R,FF,96.9,2093.0
walk,ball,429665,R,,,,,518875,R,FF,93.2,2413.0
field_out,hit_into_play,429665,R,37.0,99.6,65.89,59.81,592767,L,FF,91.8,2078.0
single,hit_into_play_no_out,429665,R,12.0,99.0,99.8,145.85,592767,L,CU,76.4,1834.0
strikeout,swinging_strike,429665,R,,,,,592767,L,FF,91.7,2109.0
single,hit_into_play_no_out,429665,R,-23.0,88.9,99.63,169.44,600917,R,SL,83.1,2555.0
field_out,hit_into_play,429665,R,39.0,83.5,209.64,122.29,571946,R,FF,94.6,2258.0
field_out,hit_into_play,429665,R,52.0,108.2,43.87,109.11,605488,L,SI,92.6,2092.0
strikeout,swinging_strike_blocked,429665,R,,,,,592716,R,SL,84.2,2628.0
field_out,hit_into_play,429665,R,34.0,96.4,77.96,53.3,592716,R,SL,83.0,2507.0
single,hit_into_play_no_out,429665,R,13.0,107.3,126.72,68.87,445926,R,FC,87.9,2309.0
field_out,hit_into_play,429665,R,73.0,72.8,78.81,193.38,433589,R,CU,75.2,2044.0
field_out,hit_into_play,429665,R,-5.0,103.8,106.06,155.83,474463,L,SI,90.2,1668.0
grounded_into_double_play,hit_into_play,429665,R,-3.0,98.8,150.28,168.54,474463,L,SI,93.0,1922.0
walk,ball,429665,R,,,,,474463,L,SL,82.4,2419.0
strikeout,swinging_strike,429665,R,,,,,642152,R,CU,81.4,2606.0
field_out,hit_into_play,429665,R,69.0,80.0,101.74,131.86,571666,R,FT,90.6,2306.0
field_out,hit_into_play,429665,R,18.0,103.9,123.5,48.72,571666,R,SL,84.9,2501.0
field_out,hit_into_play,429665,R,-7.0,93.8,103.03,165.52,571666,R,CU,73.2,2589.0
walk,ball,429665,R,,,,,595014,R,SI,97.8,2209.0
field_out,hit_into_play,429665,R,-2.0,45.3,146.9,169.49,433589,R,CU,77.4,2126.0
field_out,hit_into_play,429665,R,49.0,82.6,113.58,102.23,596043,R,FT,92.2,2046.0
strikeout,swinging_strike,429665,R,,,,,596043,R,CU,75.7,2532.0
strikeout,called_strike,429665,R,,,,,596043,R,SL,84.3,2423.0
strikeout,foul_tip,429665,R,,,,,642558,R,FT,93.6,1706.0
field_out,hit_into_play,429665,R,50.0,92.2,58.55,97.75,592716,R,SL,83.2,2495.0
field_out,hit_into_play,429665,R,6.0,97.3,101.13,167.59,592716,R,SL,84.6,2603.0
field_out,hit_into_play,429665,R,-11.0,94.0,149.59,164.56,445926,R,FT,91.5,2173.0
