events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829,L,-21.0,82.9,116.63,180.98,605135,R,FF,94.0,2289.0
strikeout,swinging_strike,543829,L,,,,,488748,L,CU,79.1,2173.0
field_out,hit_into_play,543829,L,-15.0,88.4,128.02,180.59,474463,L,SI,92.5,1733.0
field_out,hit_into_play,543829,L,-27.0,81.6,155.4,156.76,474463,L,SI,88.7,1830.0
field_out,hit_into_play,543829,L,3.0,91.3,113.83,143.07,593372,R,FT,94.9,1932.0
grounded_into_double_play,hit_into_play,543829,L,8.0,98.4,151.34,152.2,607231,R,FF,93.9,2459.0
strikeout_double_play,swinging_strike,543829,L,,,,,594965,R,FF,94.4,2244.0
single,hit_into_play_no_out,543829,L,-1.0,98.0,187.34,125.84,608379,R,FF,92.1,2198.0
strikeout,called_strike,543829,L,,,,,605154,R,FF,93.2,2508.0
single,hit_into_play_no_out,543829,L,-5.0,93.5,141.88,89.73,425794,R,CU,73.8,2670.0
field_out,hit_into_play,543829,L,-15.0,86.5,105.12,167.8,425794,R,CU,74.7,2921.0
caught_stealing_2b,called_strike,543829,L,,,,,425794,R,CU,74.8,2882.0
strikeout,swinging_strike,543829,L,,,,,606149,R,SL,85.2,2112.0
walk,ball,543829,L,,,,,608678,R,FF,92.7,2231.0
strikeout,swinging_strike_blocked,543829,L,,,,,656427,R,KC,81.0,2501.0
single,hit_into_play_score,543829,L,6.0,87.7,181.76,108.09,656427,R,SL,85.3,
single,hit_into_play_no_out,543829,L,7.0,95.2,142.83,90.76,434378,R,FF,93.1,2525.0
single,hit_into_play_no_out,543829,L,3.0,90.3,90.51,121.24,501789,R,CU,80.7,2646.0
walk,ball,543829,L,,,,,657624,R,FF,94.6,2395.0
force_out,hit_into_play,543829,L,-29.0,76.4,143.34,153.75,489119,L,FF,91.6,2226.0
field_out,hit_into_play,543829,L,-23.0,92.1,109.82,178.64,489119,L,FT,89.7,1897.0
strikeout,swinging_strike,543829,L,,,,,623352,L,,,
field_out,hit_into_play,543829,L,-15.0,86.3,150.19,154.27,458006,R,CH,82.4,1374.0
field_out,hit_into_play,543829,L,24.0,86.5,162.27,64.7,502624,R,CH,83.6,2320.0
field_out,hit_into_play,543829,L,50.0,72.8,70.25,132.46,502624,R,CH,81.6,2190.0
strikeout,foul_bunt,543829,L,,,,,502026,R,FF,95.4,2280.0
force_out,hit_into_play,543829,L,-22.0,91.7,99.92,156.69,642547,R,FF,94.7,2371.0
strikeout,swinging_strike,543829,L,,,,,642547,R,FF,95.9,2476.0
walk,ball,543829,L,,,,,605288,R,FF,95.6,2206.0
field_out,hit_into_play,543829,L,1.0,97.4,114.46,148.81,448855,R,FF,94.8,2533.0
single,hit_into_play,543829,L,20.0,68.6,86.64,139.11,519076,R,SL,85.7,
double,hit_into_play_score,543829,L,-5.0,80.4,57.53,131.86,658792,R,FF,89.9,2366.0
fielders_choice,hit_into_play_no_out,543829,L,-10.0,72.1,101.74,167.59,605200,R,FT,89.1,2238.0
double_play,hit_into_play,543829,L,5.0,91.3,127.18,177.89,605200,R,FT,89.4,2247.0
single,hit_into_play_no_out,543829,L,7.0,97.5,86.96,109.11,612434,R,SI,97.8,2154.0
field_out,hit_into_play,543829,L,24.0,93.8,88.97,53.42,642226,R,FF,90.1,2305.0
single,hit_into_play_score,543829,L,35.0,67.2,83.33,122.66,642226,R,FF,90.2,2034.0
field_out,hit_into_play,543829,L,-24.0,88.2,150.33,163.86,593679,R,SI,93.8,2056.0
strikeout,swinging_strike,543829,L,,,,,571710,R,FF,96.7,2332.0
strikeout,swinging_strike,543829,L,,,,,642231,R,SL,83.8,2726.0
single,hit_into_play_no_out,543829,L,7.0,87.2,159.96,103.53,488768,R,CH,83.5,1578.0
field_out,hit_into_play,543829,L,33.0,91.7,64.92,70.03,488768,R,FF,91.8,2121.0
field_out,hit_into_play,543829,L,25.0,79.2,157.55,88.76,571710,R,FF,95.7,2299.0
strikeout,swinging_strike,543829,L,,,,,623465,R,FF,93.7,2134.0
field_out,hit_into_play,543829,L,-26.0,69.7,143.74,176.53,605164,R,CU,76.3,2506.0
field_out,hit_into_play,543829,L,-12.0,78.0,109.77,154.73,605164,R,FF,90.3,2392.0
strikeout,called_strike,543829,L,,,,,543169,L,FF,90.2,2195.0
grounded_into_double_play,hit_into_play,543829,L,-21.0,91.6,146.27,152.2,543169,L,FF,91.1,2212.0
field_out,hit_into_play,543829,L,-21.0,82.9,124.98,142.57,641745,R,FT,93.6,2086.0
strikeout,swinging_strike_blocked,543829,L,,,,,641745,R,FT,95.2,2161.0
field_out,hit_into_play,543829,L,20.0,85.6,60.41,109.35,641838,R,SI,90.2,2003.0
strikeout,called_strike,543829,L,,,,,456701,R,FF,94.2,2048.0
strikeout,swinging_strike,543829,L,,,,,456701,R,FS,85.2,
single,hit_into_play_no_out,543829,L,10.0,98.0,73.52,115.81,456701,R,FS,83.5,771.0
field_out,hit_into_play,543829,L,69.0,80.0,92.53,180.59,518617,L,SL,82.8,2824.0
field_out,hit_into_play,543829,L,55.0,72.5,116.39,127.92,543169,L,SL,81.8,2399.0
force_out,hit_into_play_score,543829,L,-1.0,95.5,148.3,157.27,518633,L,SL,84.8,
field_out,hit_into_play,543829,L,-13.0,83.6,144.75,158.79,518633,L,CU,79.3,2474.0
triple,hit_into_play_score,543829,L,19.0,90.6,197.9,125.09,433589,R,CH,82.0,2018.0
single,hit_into_play_no_out,543829,L,7.0,97.5,115.09,107.71,521230,R,FF,97.9,2346.0
field_out,hit_into_play,543829,L,-41.0,68.3,145.37,170.51,664196,R,SI,93.1,2323.0
strikeout,swinging_strike,543829,L,,,,,664196,R,SI,92.2,2324.0
field_out,hit_into_play,543829,L,-61.0,59.7,155.53,170.0,605156,R,FF,91.5,2278.0
field_out,hit_into_play,543829,L,35.0,80.2,191.34,93.43,605156,R,SL,86.3,2450.0
walk,ball,543829,L,,,,,605135,R,SI,91.0,2029.0
sac_fly,hit_into_play_score,543829,L,32.0,77.1,178.21,91.59,605135,R,FF,94.6,2270.0
double,hit_into_play_no_out,543829,L,13.0,97.8,87.61,70.58,605135,R,SI,92.9,2108.0
force_out,hit_into_play,543829,L,-21.0,82.9,145.3,147.06,543483,R,FF,96.5,2324.0
field_out,hit_into_play,543829,L,-34.0,67.5,150.75,173.71,607560,R,CU,73.3,2331.0
field_out,hit_into_play,543829,L,18.0,26.8,132.09,189.41,501381,R,CH,87.4,1902.0
field_out,hit_into_play,543829,L,-15.0,84.0,147.11,149.49,501381,R,CH,87.9,2059.0
double,hit_into_play_no_out,543829,L,27.0,95.3,45.08,78.18,608648,R,KC,74.8,2474.0
fielders_choice,hit_into_play_score,543829,L,-26.0,66.1,150.8,170.62,453284,R,FS,81.9,1000.0
field_out,hit_into_play,543829,L,38.0,90.7,83.57,88.85,621244,R,FF,92.5,2134.0
field_out,hit_into_play,543829,L,10.0,73.7,141.2,142.45,621244,R,FT,92.8,2080.0
double,hit_into_play_no_out,543829,L,12.0,97.8,187.55,110.88,621244,R,FT,91.8,2205.0
field_out,hit_into_play,543829,L,50.0,82.3,85.53,105.41,543483,R,FF,94.9,2331.0
field_out,hit_into_play,543829,L,-13.0,98.0,116.88,160.93,608648,R,SL,82.7,2711.0
single,hit_into_play_no_out,543829,L,7.0,91.7,80.54,92.49,527048,L,FF,94.8,2130.0
field_out,hit_into_play,543829,L,7.0,68.1,111.43,168.2,527048,L,FF,96.4,2241.0
field_out,hit_into_play,543829,L,-21.0,82.9,113.85,181.52,455119,R,SI,94.9,2370.0
strikeout,foul_tip,543829,L,,,,,571946,R,FF,95.4,2406.0
field_out,hit_into_play,543829,L,33.0,78.3,141.39,81.7,501985,L,SL,85.9,2777.0
single,hit_into_play_no_out,543829,L,44.0,67.5,99.92,114.29,501985,L,SL,87.6,2867.0
field_out,hit_into_play,543829,L,-40.0,74.9,151.41,164.56,501985,L,KC,82.6,2620.0
field_out,hit_into_play,543829,L,-5.0,89.7,140.19,150.17,543507,R,CH,88.6,2174.0
field_out,hit_into_play,543829,L,20.0,95.3,178.92,92.33,502043,R,SL,83.4,
field_out,hit_into_play,543829,L,-36.0,78.5,149.82,172.48,502043,R,CH,85.9,1759.0
field_out,hit_into_play,543829,L,-20.0,91.3,143.23,154.23,502043,R,FF,93.8,2263.0
strikeout,swinging_strike,543829,L,,,,,542866,R,FF,95.5,2208.0
field_out,hit_into_play,543829,L,-21.0,82.9,129.54,187.18,608648,R,SL,80.3,2573.0
field_out,hit_into_play,543829,L,49.0,63.0,91.52,147.13,621244,R,CH,82.5,1628.0
field_out,hit_into_play,543829,L,28.0,77.3,63.48,110.81,621244,R,FF,93.6,2268.0
strikeout,swinging_strike,543829,L,,,,,621244,R,FT,93.3,2205.0
grounded_into_double_play,hit_into_play,543829,L,-20.0,98.8,141.71,152.71,527048,L,FF,94.7,2110.0
single,hit_into_play_no_out,543829,L,18.0,92.0,95.34,85.63,527048,L,FF,93.9,2204.0
single,hit_into_play_no_out,543829,L,18.0,95.0,145.99,73.98,527048,L,CU,77.8,2541.0
field_out,hit_into_play,543829,L,-2.0,89.5,104.19,153.72,527048,L,FF,93.8,1984.0
field_out,hit_into_play,543829,L,5.0,102.5,114.33,149.67,608648,R,FF,95.5,2225.0
field_out,hit_into_play,543829,L,6.0,77.8,157.93,156.26,501381,R,FF,91.9,1922.0
field_out,hit_into_play,543829,L,50.0,86.2,43.49,119.7,501381,R,CH,87.3,1687.0
field_out,hit_into_play,543829,L,44.0,81.5,141.3,88.03,501381,R,CH,86.2,1763.0
hit_by_pitch,hit_by_pitch,543829,L,,,,,457918,L,FF,90.0,2257.0
walk,ball,543829,L,,,,,457918,L,FF,91.3,2304.0
strikeout,called_strike,543829,L,,,,,545332,R,FF,93.3,2187.0
field_out,hit_into_play,543829,L,24.0,86.2,145.96,61.57,570666,R,SL,84.7,2547.0
single,hit_into_play_score,543829,L,4.0,96.6,131.5,119.89,642528,R,CU,82.1,2785.0
field_out,hit_into_play,543829,L,86.0,74.5,139.28,228.42,642528,R,CU,83.5,2595.0
single,hit_into_play_no_out,543829,L,-9.0,89.9,135.21,109.55,642528,R,FF,97.4,2440.0
single,hit_into_play_no_out,543829,L,-24.0,81.9,179.41,107.01,642840,R,FF,96.4,2594.0
field_out,hit_into_play,543829,L,-8.0,85.8,108.29,156.28,592454,R,FF,97.8,2221.0
field_out,hit_into_play,543829,L,17.0,94.7,59.53,104.6,547888,R,CU,78.2,2433.0
single,hit_into_play_no_out,543829,L,11.0,97.5,102.6,83.91,547888,R,FF,91.2,2119.0
strikeout,swinging_strike,543829,L,,,,,547888,R,SL,83.6,2440.0
strikeout,swinging_strike_blocked,543829,L,,,,,570666,R,SL,84.2,2534.0
single,hit_into_play_no_out,543829,L,20.0,64.1,149.82,129.86,656547,R,CH,84.6,1845.0
home_run,hit_into_play_score,543829,L,28.0,94.7,192.95,63.35,282332,L,SL,79.5,2238.0
single,hit_into_play_no_out,543829,L,11.0,97.1,124.67,91.84,282332,L,FC,86.6,2326.0
field_out,hit_into_play,543829,L,-21.0,82.9,144.36,183.72,519166,R,FF,95.9,2378.0
force_out,hit_into_play,543829,L,-30.0,85.1,144.36,155.78,519096,R,CH,82.5,1316.0
field_out,hit_into_play,543829,L,-21.0,82.9,131.99,192.64,621397,L,FF,87.3,2225.0
field_out,hit_into_play,543829,L,-18.0,74.1,143.34,156.28,457754,R,FF,93.3,2332.0
field_out,hit_into_play,543829,L,50.0,56.1,116.03,136.86,594736,R,CH,85.6,2260.0
field_out,hit_into_play,543829,L,8.0,98.8,158.63,167.38,471911,R,FT,91.9,2294.0
field_out,hit_into_play,543829,L,25.0,91.3,208.65,88.77,471911,R,CU,79.5,2784.0
force_out,hit_into_play,543829,L,-3.0,77.9,114.9,158.32,471911,R,FT,93.4,2398.0
strikeout,swinging_strike,543829,L,,,,,471911,R,FF,94.6,2531.0
field_out,hit_into_play,543829,L,0.0,79.4,112.86,156.28,669456,R,FF,93.0,2140.0
single,hit_into_play_no_out,543829,L,4.0,87.7,85.43,125.81,669456,R,FF,92.3,2111.0
single,hit_into_play_no_out,543829,L,8.0,92.5,126.22,101.53,669456,R,SL,83.6,2285.0
field_out,hit_into_play,543829,L,-2.0,98.1,153.5,170.51,669456,R,FF,92.6,2215.0
field_out,hit_into_play,543829,L,-21.0,82.9,136.64,186.67,543903,R,FF,93.3,2239.0
field_out,hit_into_play,543829,L,20.0,89.1,71.86,99.36,452657,L,FF,89.2,2217.0
field_out,hit_into_play,543829,L,-18.0,56.4,110.28,179.07,452657,L,FC,89.6,2322.0
grounded_into_double_play,hit_into_play,543829,L,4.0,71.9,107.24,166.39,542960,R,FF,94.0,2252.0
single,hit_into_play_score,543829,L,9.0,102.4,164.84,130.39,430935,L,FT,90.9,2006.0
single,hit_into_play_score,543829,L,-33.0,67.9,109.77,149.67,430935,L,FT,91.0,1915.0
field_out,hit_into_play,543829,L,-8.0,98.9,109.77,148.65,430935,L,FF,91.2,2082.0
